,Eosinophil,pair
"('Basophil', 'LSEC', 'Monocyte')",-0.2804,"('Basophil', 'LSEC', 'Monocyte')"
"('Basophil', 'LSEC', 'NK')",0.377,"('Basophil', 'LSEC', 'NK')"
"('Basophil', 'LSEC', 'Neutrophil')",0.2603,"('Basophil', 'LSEC', 'Neutrophil')"
"('Basophil', 'LSEC', 'Stellate')",-0.1089,"('Basophil', 'LSEC', 'Stellate')"
"('Basophil', 'Monocyte', 'NK')",-0.3452,"('Basophil', 'Monocyte', 'NK')"
"('Basophil', 'Monocyte', 'Neutrophil')",-0.737,"('Basophil', 'Monocyte', 'Neutrophil')"
"('Basophil', 'Monocyte', 'Stellate')",-0.1651,"('Basophil', 'Monocyte', 'Stellate')"
"('Basophil', 'NK', 'Neutrophil')",-0.4669,"('Basophil', 'NK', 'Neutrophil')"
"('Basophil', 'NK', 'Stellate')",-0.0371,"('Basophil', 'NK', 'Stellate')"
"('Basophil', 'Neutrophil', 'Stellate')",-0.2038,"('Basophil', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte')",-0.3532,"('CD4', 'CD8', 'Cholangiocyte')"
"('CD4', 'CD8', 'Hepatocyte')",0.0415,"('CD4', 'CD8', 'Hepatocyte')"
"('CD4', 'CD8', 'Kupffer')",-0.1691,"('CD4', 'CD8', 'Kupffer')"
"('CD4', 'CD8', 'LSEC')",-0.154,"('CD4', 'CD8', 'LSEC')"
"('CD4', 'CD8', 'Monocyte')",-0.0694,"('CD4', 'CD8', 'Monocyte')"
"('CD4', 'CD8', 'NK')",0.127,"('CD4', 'CD8', 'NK')"
"('CD4', 'CD8', 'Neutrophil')",0.117,"('CD4', 'CD8', 'Neutrophil')"
"('CD4', 'CD8', 'Stellate')",-0.3212,"('CD4', 'CD8', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte')",0.5174,"('CD4', 'Cholangiocyte', 'Hepatocyte')"
"('CD4', 'Cholangiocyte', 'Kupffer')",0.1275,"('CD4', 'Cholangiocyte', 'Kupffer')"
"('CD4', 'Cholangiocyte', 'LSEC')",0.5018,"('CD4', 'Cholangiocyte', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Monocyte')",-0.0114,"('CD4', 'Cholangiocyte', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'NK')",0.3652,"('CD4', 'Cholangiocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Neutrophil')",0.4644,"('CD4', 'Cholangiocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Stellate')",-0.015,"('CD4', 'Cholangiocyte', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer')",0.4448,"('CD4', 'Hepatocyte', 'Kupffer')"
"('CD4', 'Hepatocyte', 'LSEC')",0.3715,"('CD4', 'Hepatocyte', 'LSEC')"
"('CD4', 'Hepatocyte', 'Monocyte')",0.3129,"('CD4', 'Hepatocyte', 'Monocyte')"
"('CD4', 'Hepatocyte', 'NK')",0.3749,"('CD4', 'Hepatocyte', 'NK')"
"('CD4', 'Hepatocyte', 'Neutrophil')",0.6553,"('CD4', 'Hepatocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Stellate')",0.0464,"('CD4', 'Hepatocyte', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC')",0.2302,"('CD4', 'Kupffer', 'LSEC')"
"('CD4', 'Kupffer', 'Monocyte')",-0.1098,"('CD4', 'Kupffer', 'Monocyte')"
"('CD4', 'Kupffer', 'NK')",0.1479,"('CD4', 'Kupffer', 'NK')"
"('CD4', 'Kupffer', 'Neutrophil')",0.0938,"('CD4', 'Kupffer', 'Neutrophil')"
"('CD4', 'Kupffer', 'Stellate')",-0.4651,"('CD4', 'Kupffer', 'Stellate')"
"('CD4', 'LSEC', 'Monocyte')",0.151,"('CD4', 'LSEC', 'Monocyte')"
"('CD4', 'LSEC', 'NK')",0.2506,"('CD4', 'LSEC', 'NK')"
"('CD4', 'LSEC', 'Neutrophil')",0.3894,"('CD4', 'LSEC', 'Neutrophil')"
"('CD4', 'LSEC', 'Stellate')",0.1742,"('CD4', 'LSEC', 'Stellate')"
"('CD4', 'Monocyte', 'NK')",0.332,"('CD4', 'Monocyte', 'NK')"
"('CD4', 'Monocyte', 'Neutrophil')",-0.5176,"('CD4', 'Monocyte', 'Neutrophil')"
"('CD4', 'Monocyte', 'Stellate')",-0.0322,"('CD4', 'Monocyte', 'Stellate')"
"('CD4', 'NK', 'Neutrophil')",0.1827,"('CD4', 'NK', 'Neutrophil')"
"('CD4', 'NK', 'Stellate')",0.0379,"('CD4', 'NK', 'Stellate')"
"('CD4', 'Neutrophil', 'Stellate')",0.3964,"('CD4', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte')",0.2904,"('CD8', 'Cholangiocyte', 'Hepatocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer')",0.1523,"('CD8', 'Cholangiocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'LSEC')",0.1927,"('CD8', 'Cholangiocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Monocyte')",-0.326,"('CD8', 'Cholangiocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'NK')",0.3852,"('CD8', 'Cholangiocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Neutrophil')",-0.1888,"('CD8', 'Cholangiocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Stellate')",-0.3784,"('CD8', 'Cholangiocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer')",0.3135,"('CD8', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Hepatocyte', 'LSEC')",0.3569,"('CD8', 'Hepatocyte', 'LSEC')"
"('CD8', 'Hepatocyte', 'Monocyte')",0.1285,"('CD8', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Hepatocyte', 'NK')",0.6012,"('CD8', 'Hepatocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Neutrophil')",0.5101,"('CD8', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Stellate')",-0.1815,"('CD8', 'Hepatocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC')",0.0943,"('CD8', 'Kupffer', 'LSEC')"
"('CD8', 'Kupffer', 'Monocyte')",-0.1354,"('CD8', 'Kupffer', 'Monocyte')"
"('CD8', 'Kupffer', 'NK')",0.2116,"('CD8', 'Kupffer', 'NK')"
"('CD8', 'Kupffer', 'Neutrophil')",0.4568,"('CD8', 'Kupffer', 'Neutrophil')"
"('CD8', 'Kupffer', 'Stellate')",-0.4777,"('CD8', 'Kupffer', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte')",0.0351,"('CD8', 'LSEC', 'Monocyte')"
"('CD8', 'LSEC', 'NK')",0.2582,"('CD8', 'LSEC', 'NK')"
"('CD8', 'LSEC', 'Neutrophil')",0.4624,"('CD8', 'LSEC', 'Neutrophil')"
"('CD8', 'LSEC', 'Stellate')",-0.3055,"('CD8', 'LSEC', 'Stellate')"
"('CD8', 'Monocyte', 'NK')",0.0316,"('CD8', 'Monocyte', 'NK')"
"('CD8', 'Monocyte', 'Neutrophil')",-0.4552,"('CD8', 'Monocyte', 'Neutrophil')"
"('CD8', 'Monocyte', 'Stellate')",-0.2155,"('CD8', 'Monocyte', 'Stellate')"
"('CD8', 'NK', 'Neutrophil')",0.4272,"('CD8', 'NK', 'Neutrophil')"
"('CD8', 'NK', 'Stellate')",-0.0471,"('CD8', 'NK', 'Stellate')"
"('CD8', 'Neutrophil', 'Stellate')",-0.244,"('CD8', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.5619,"('Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC')",0.5073,"('Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.4919,"('Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'NK')",0.4005,"('Cholangiocyte', 'Hepatocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.845,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Stellate')",0.2259,"('Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC')",0.4798,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'Monocyte')",-0.1978,"('Cholangiocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'NK')",0.2679,"('Cholangiocyte', 'Kupffer', 'NK')"
