,Eosinophil,pair
"('Basophil', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",0.0657,"('Basophil', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.3031,"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.1097,"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.3669,"('Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.2792,"('Basophil', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.2157,"('Basophil', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",-0.2746,"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.3288,"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.4079,"('Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.0814,"('Basophil', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('Basophil', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.3843,"('Basophil', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('Basophil', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.2661,"('Basophil', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.3395,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.3521,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.4115,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.5419,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.0338,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5846,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.4018,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.8688,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.0641,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.4439,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.5117,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.0507,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')",0.8478,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.0263,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.7421,"('CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",-0.0078,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.0409,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.4092,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",-0.5029,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",-0.515,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",-0.1844,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",-0.618,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')",0.4896,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",-0.4983,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",-0.1635,"('CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.0793,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.3405,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",-0.1659,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')",0.6197,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')",-0.2417,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.4491,"('CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil')",-0.0553,"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",-0.4663,"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",-0.1403,"('CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')",0.0104,"('CD4', 'CD8', 'Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.2157,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5009,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5057,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.1477,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.0832,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.1396,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",-0.3808,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')",0.3464,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.0339,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",-0.2051,"('CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.4288,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.3102,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.2527,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')",0.6926,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",-0.0101,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.643,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')",-0.1157,"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.0739,"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.093,"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')",0.3398,"('CD4', 'CD8', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",-0.4138,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",-0.2711,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",-0.398,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.1622,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Stellate')",-0.4609,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",-0.0948,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",-0.3509,"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.7006,"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.7378,"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",-0.449,"('CD4', 'CD8', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.1343,"('CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.4245,"('CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.0176,"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.1237,"('CD4', 'CD8', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.354,"('CD4', 'CD8', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.435,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.6555,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6571,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5216,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.3328,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.4255,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",-0.0546,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')",0.6388,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.3146,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.3979,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.6821,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.661,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.285,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')",0.846,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.3551,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6893,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')",0.4711,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.3507,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.4683,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')",0.737,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.1906,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.2811,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",-0.3242,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.3703,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.1088,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.15,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.1512,"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.4058,"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.1941,"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",-0.1045,"('CD4', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.4705,"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.1881,"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.4129,"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.5912,"('CD4', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.2457,"('CD4', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.2995,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.1721,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",-0.0174,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.5442,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.4467,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.3949,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.1364,"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.2334,"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.3181,"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",0.2105,"('CD4', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.3672,"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.4605,"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.3595,"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.7274,"('CD4', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.1562,"('CD4', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",-0.2291,"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.2823,"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.3555,"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.2325,"('CD4', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.517,"('CD4', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD4', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.0353,"('CD4', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.2983,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.4358,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.593,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
