,Neutrophil,pair
"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.3974,"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'NK')",0.4559,"('CD8', 'Hepatocyte', 'Monocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5136,"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'NK', 'Stellate')",0.2928,"('CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.7169,"('CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Kupffer', 'LSEC', 'NK')",0.6801,"('CD8', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Kupffer', 'LSEC', 'Stellate')",0.6826,"('CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'NK')",0.7322,"('CD8', 'Kupffer', 'Monocyte', 'NK')"
"('CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.7446,"('CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'NK', 'Stellate')",0.671,"('CD8', 'Kupffer', 'NK', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte', 'NK')",0.746,"('CD8', 'LSEC', 'Monocyte', 'NK')"
"('CD8', 'LSEC', 'Monocyte', 'Stellate')",0.7591,"('CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'LSEC', 'NK', 'Stellate')",0.6779,"('CD8', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'Monocyte', 'NK', 'Stellate')",0.7401,"('CD8', 'Monocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.4792,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5846,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.482,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.4778,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5152,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.3585,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.3317,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.4543,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.4989,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.2624,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6957,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.6798,"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6419,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",0.7149,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7309,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.6971,"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.7013,"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.732,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
