,NK,pair
"('CD8', 'LSEC', 'Monocyte', 'Neutrophil')",0.6664,"('CD8', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'LSEC', 'Monocyte', 'Stellate')",0.7083,"('CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.6742,"('CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Monocyte', 'Neutrophil', 'Stellate')",0.7239,"('CD8', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5796,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6867,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6616,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7384,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5992,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4946,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.6398,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6911,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7465,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6037,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6109,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6406,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
