,NK,pair
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7823,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7285,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7499,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6253,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.7457,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7661,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5075,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.7237,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.4498,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6663,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7405,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6393,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7304,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.4647,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6464,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.6127,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6372,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6969,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6766,"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7402,"('B', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.7135,"('B', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6284,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5398,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.656,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7294,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7453,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7252,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.5735,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6844,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.582,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7399,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6132,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6729,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6128,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7225,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6386,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.7136,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6164,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6612,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.6701,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6755,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.714,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6196,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5846,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6463,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7422,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7493,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7386,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.6042,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6674,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.5674,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7279,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6665,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.7132,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6054,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7684,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.635,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6988,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.5972,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6037,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7052,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.5792,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.674,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6082,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6768,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6241,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7371,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6336,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6509,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.631,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6259,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5544,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6418,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7483,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.75,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7401,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.5806,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6739,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.5708,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.757,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.653,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6837,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.5775,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7433,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6659,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6966,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.5134,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.611,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.6361,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.63,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6527,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6069,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6947,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6387,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7474,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6532,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6157,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6277,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6205,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6768,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.635,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7628,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6548,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6196,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6088,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6597,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6349,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6959,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6266,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7651,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6519,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.5611,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.583,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6774,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6787,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6777,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
