,B,Basophil,CD4,CD8,Eosinophil,Kupffer,Monocyte,NK,Neutrophil
CD59B,3.5412411782889808,2.878271155736164,0.0,3.497822342058892,5.77519004036085,2.1835099397403295,0.0,2.656771669246374,0.0
CD5L,3.721790892781212,0.0,0.7678268133996002,3.6302018597974737,0.0,16.184122181906915,3.018672361941303,1.1090295121001446,6.7429645051435685
CD79B,14.198017198323981,9.948560668848087,7.606710191315879,10.372077984615355,5.7450106901151985,9.559183980213126,7.994679004075632,4.7565875639773125,8.58123145544753
CDH1,0.0,12.322022410544472,0.8174148236392853,3.959544080250952,6.228590562320816,2.626010011226962,3.816145401055052,0.1065824064437187,0.0
CDK18,3.5934933781038674,4.4225551645748595,0.0,0.03049525863291447,9.224513581458865,6.879944730474982,2.7891907681550157,4.625639155974998,0.0
CDKN1A,8.098948813908123,8.624332380131893,8.537314560913387,4.7013478208708595,11.993288693339716,9.710497036180127,8.892789009697985,6.395787613663057,6.972059838240936
CECR2,6.97969539971859,0.5955592403052671,2.2673194150041365,1.4478951707683163,0.8522700925415838,1.7163839506819727,0.47838962740691693,0.0,3.7286282632729226
CES2C,0.9947738593969775,0.0,1.5142396410291092,3.6655335040102557,0.0,0.0981623264544457,0.0,5.337914420130621,0.0
CES2G,0.0,3.3538144182448733,0.0,1.4199689992253102,5.876802218177003,2.4931151823705298,1.769260276227046,0.0,0.0
CHST2,0.0,0.0,6.169973679341452,3.7513588600017562,0.0,3.502899661356718,0.0,1.93739256317969,0.0
CIART,6.137730463244057,4.985577836957506,8.749459276004007,7.05441376333876,4.561929098998504,5.3688422561613045,4.792401845731168,4.012925189742917,2.1742699983176355
CISH,4.697757300436349,5.9532011032447505,8.265086829320861,7.264597756756164,11.160179306550207,4.154393270657001,3.99655112006862,6.038908105364575,5.25344450247275
CLEC4A1,1.4289579320299928,0.0,1.81127875691067,5.085702304917316,3.1018468926980365,8.78549334930462,11.282527964498549,1.3754069741261539,8.570207187504469
CLEC4F,0.0,0.0,0.0,1.7037229131455676,0.0,17.179269003377485,0.0,0.0,0.0
CLMN,0.0,0.0,0.0,0.0,0.0,0.5662426461311654,3.061456952965086,0.0,0.0
COL5A1,0.0,3.8873634297465873,0.0,0.33764987666086244,7.960716386238239,2.7132690580246734,2.8167355607075146,0.0,1.765974841045753
COL6A3,0.0,0.0,0.0,0.0,3.324408221807552,0.0,0.0,0.0,0.0
COQ8B,7.756120395427617,11.755920116663308,7.82545551992816,8.55814443419016,8.968844994521778,8.384664308537534,8.343088813114248,7.7536475798309485,9.164314042848199
CORO2B,5.146466858448742,7.816321918166835,3.834821794493508,1.4817972913457695,1.885606738633682,3.3680284892632804,0.0,2.687886528523511,0.0
CPEB1,0.0,0.0,0.5048359276231948,0.0,7.450274156902752,0.22312886007092583,0.0,0.0,0.0
CSF2RB2,4.602373613809558,10.228939402024444,0.0,3.0151147707572994,13.094800061364332,6.858679622520796,8.462890217293317,0.0,8.656184469105009
CSF3R,1.744150332936405,1.323092764349617,0.0,7.040685104286126,4.985577836957506,8.946328402297475,11.24614746832677,0.0,16.524342328118088
CSRP2,7.6260925472482555,2.1408080666640403,5.290684907838884,5.355373039022602,7.189116193798671,7.218151200668759,10.162426228288634,3.917047688534952,7.13467282203611
CSRP3,0.0,12.406292286954315,0.0,2.110782202870192,4.513634811654205,3.8628807644691006,0.0,0.0,0.0
CTCFLOS,0.0,0.0,0.0,0.0,8.574596031462761,0.0,0.0,0.0,0.0
CXCL13,0.44625772014185167,0.0,0.0,0.0,0.0,12.633317979572782,0.0,0.0,0.0
CXCL14,0.0,0.0,0.0,0.0,0.0,8.545002390817357,0.0,0.0,0.0
CXCL16,3.062017378983035,0.0,2.87481881595716,3.2652444549984874,4.050363035534496,12.416056135106656,3.423079280086869,2.4005751950259584,0.0
CXXC5,8.012239059116848,7.1780350490501785,5.8373473409516805,8.121456265172867,4.178717726785093,5.832166568946998,4.979038731862065,10.293669320784083,5.1423867693767855
CYB561,2.357786555553959,5.114975136073914,0.7565451306165795,1.820388194356224,7.4459777527590365,2.595330777365646,3.1131825517104685,1.3885399766438793,0.0
CYP2D22,4.86548498025878,1.628177534351024,8.128130445597119,5.9517750664478815,2.7158722786839853,4.757844674650629,2.3750327576821393,4.919493701817066,4.449105097103146
CYP3A13,0.0,0.0,0.0,0.0,0.0,1.5746797215924055,0.0,0.0,6.817481641443375
