,Neutrophil,pair
"('B', 'CD4', 'Hepatocyte', 'NK', 'Stellate')",0.0326,"('B', 'CD4', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'Monocyte')",0.712,"('B', 'CD4', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'NK')",0.7147,"('B', 'CD4', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'Stellate')",0.6704,"('B', 'CD4', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'Monocyte', 'NK')",0.6896,"('B', 'CD4', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'CD4', 'Kupffer', 'Monocyte', 'Stellate')",0.6095,"('B', 'CD4', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'NK', 'Stellate')",0.6933,"('B', 'CD4', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD4', 'LSEC', 'Monocyte', 'NK')",0.533,"('B', 'CD4', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD4', 'LSEC', 'Monocyte', 'Stellate')",0.5596,"('B', 'CD4', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'LSEC', 'NK', 'Stellate')",0.1841,"('B', 'CD4', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'Monocyte', 'NK', 'Stellate')",0.3424,"('B', 'CD4', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')",-0.0571,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer')",0.6793,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC')",0.2127,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte')",0.2987,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'NK')",-0.0887,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Stellate')",-0.0305,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.5131,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",-0.0485,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.1322,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')",-0.2492,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",-0.0906,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6319,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.6361,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')",0.6755,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.6501,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.5108,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')",0.0647,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.2402,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK')",0.3263,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.4128,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')",0.1727,"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.4776,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'LSEC')",-0.0304,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte')",0.151,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'NK')",-0.0002,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Stellate')",-0.1512,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'LSEC')",0.6428,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Monocyte')",0.5682,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'NK')",0.6344,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'NK')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Stellate')",0.5792,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'Monocyte')",0.4708,"('B', 'CD8', 'Eosinophil', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'NK')",0.197,"('B', 'CD8', 'Eosinophil', 'LSEC', 'NK')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'Stellate')",0.1223,"('B', 'CD8', 'Eosinophil', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Monocyte', 'NK')",0.2066,"('B', 'CD8', 'Eosinophil', 'Monocyte', 'NK')"
"('B', 'CD8', 'Eosinophil', 'Monocyte', 'Stellate')",0.1902,"('B', 'CD8', 'Eosinophil', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'NK', 'Stellate')",0.0081,"('B', 'CD8', 'Eosinophil', 'NK', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5338,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5327,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.4562,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5585,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.4141,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')",0.0461,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.1189,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'NK')",0.1447,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.2543,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')",0.1053,"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.7052,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')",0.7322,"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')",0.6541,"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'NK')",0.659,"('B', 'CD8', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.6039,"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')",0.7308,"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'NK')",0.4815,"('B', 'CD8', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')",0.4827,"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'LSEC', 'NK', 'Stellate')",0.3612,"('B', 'CD8', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD8', 'Monocyte', 'NK', 'Stellate')",0.3671,"('B', 'CD8', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.4107,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')",-0.055,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')",0.1502,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'NK')",-0.2635,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')",-0.2128,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')",0.6142,"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')",0.6087,"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'NK')",0.5797,"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'NK')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')",0.5782,"('B', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')",0.4737,"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'NK')",0.1502,"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')",0.0683,"('B', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'NK')",0.2644,"('B', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')",0.3685,"('B', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'NK', 'Stellate')",-0.1137,"('B', 'Cholangiocyte', 'Eosinophil', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5709,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5081,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.4139,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5403,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.2663,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",-0.1646,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",-0.0556,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.0385,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.1368,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",-0.173,"('B', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6146,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.66,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6352,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",0.6097,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7043,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.6276,"('B', 'Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.4046,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.4019,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.0963,"('B', 'Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",0.3508,"('B', 'Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5151,"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.4515,"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'NK')",0.3063,"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')",0.4285,"('B', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')",0.3789,"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'NK')",-0.1118,"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')",-0.1063,"('B', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'NK')",0.1172,"('B', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')",0.22,"('B', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte', 'NK', 'Stellate')",-0.1843,"('B', 'Eosinophil', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')",0.6405,"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'NK')",0.6462,"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')",0.5459,"('B', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Eosinophil', 'Kupffer', 'Monocyte', 'NK')",0.6068,"('B', 'Eosinophil', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')",0.5758,"('B', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Eosinophil', 'Kupffer', 'NK', 'Stellate')",0.6103,"('B', 'Eosinophil', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Eosinophil', 'LSEC', 'Monocyte', 'NK')",0.3501,"('B', 'Eosinophil', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')",0.3182,"('B', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Eosinophil', 'LSEC', 'NK', 'Stellate')",0.1215,"('B', 'Eosinophil', 'LSEC', 'NK', 'Stellate')"
"('B', 'Eosinophil', 'Monocyte', 'NK', 'Stellate')",0.2582,"('B', 'Eosinophil', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6407,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5148,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5098,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.4436,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.5838,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5193,"('B', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.3959,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.3604,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.0327,"('B', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.2085,"('B', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.6442,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6082,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.6842,"('B', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.5527,"('B', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.4486,"('B', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Eosinophil')",-0.0804,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Eosinophil')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte')",-0.2505,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer')",0.6372,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC')",-0.0048,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Monocyte')",0.5207,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Monocyte')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'NK')",-0.1625,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'NK')"
"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Stellate')",0.0989,"('Basophil', 'CD4', 'CD8', 'Cholangiocyte', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Hepatocyte')",0.0655,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Hepatocyte')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Kupffer')",0.6254,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Kupffer')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'LSEC')",0.1545,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'LSEC')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Monocyte')",0.1238,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Monocyte')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'NK')",-0.1786,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'NK')"
"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Stellate')",0.0269,"('Basophil', 'CD4', 'CD8', 'Eosinophil', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer')",0.5186,"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'LSEC')",-0.0469,"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'LSEC')"
"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Monocyte')",0.3393,"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Monocyte')"
"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'NK')",-0.2763,"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'NK')"
"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Stellate')",0.0143,"('Basophil', 'CD4', 'CD8', 'Hepatocyte', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'Kupffer', 'LSEC')",0.6903,"('Basophil', 'CD4', 'CD8', 'Kupffer', 'LSEC')"
"('Basophil', 'CD4', 'CD8', 'Kupffer', 'Monocyte')",0.6262,"('Basophil', 'CD4', 'CD8', 'Kupffer', 'Monocyte')"
"('Basophil', 'CD4', 'CD8', 'Kupffer', 'NK')",0.6822,"('Basophil', 'CD4', 'CD8', 'Kupffer', 'NK')"
"('Basophil', 'CD4', 'CD8', 'Kupffer', 'Stellate')",0.6433,"('Basophil', 'CD4', 'CD8', 'Kupffer', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'LSEC', 'Monocyte')",0.6048,"('Basophil', 'CD4', 'CD8', 'LSEC', 'Monocyte')"
"('Basophil', 'CD4', 'CD8', 'LSEC', 'NK')",0.0766,"('Basophil', 'CD4', 'CD8', 'LSEC', 'NK')"
"('Basophil', 'CD4', 'CD8', 'LSEC', 'Stellate')",0.2645,"('Basophil', 'CD4', 'CD8', 'LSEC', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'Monocyte', 'NK')",0.5459,"('Basophil', 'CD4', 'CD8', 'Monocyte', 'NK')"
"('Basophil', 'CD4', 'CD8', 'Monocyte', 'Stellate')",0.4117,"('Basophil', 'CD4', 'CD8', 'Monocyte', 'Stellate')"
"('Basophil', 'CD4', 'CD8', 'NK', 'Stellate')",0.1569,"('Basophil', 'CD4', 'CD8', 'NK', 'Stellate')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')",-0.0641,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer')",0.6395,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC')",0.2754,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte')",0.4776,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'NK')",-0.0373,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'NK')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Stellate')",0.0863,"('Basophil', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Stellate')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.3714,"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",-0.1523,"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.2687,"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'NK')",-0.3368,"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",-0.2127,"('Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
