,NK,pair
"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.1384,"('CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6064,"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.6911,"('CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6658,"('CD4', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.5147,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.4123,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Stellate')",0.4536,"('CD4', 'CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil')",0.3808,"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.55,"('CD4', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')",0.4717,"('CD4', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil')",0.4295,"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Stellate')",0.538,"('CD4', 'CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.5567,"('CD4', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Monocyte', 'Neutrophil', 'Stellate')",0.3066,"('CD4', 'CD8', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.5611,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.6668,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')",0.5943,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.6037,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')",0.6554,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')",0.4978,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')",0.5397,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Neutrophil')",0.6026,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')",0.526,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')",0.6233,"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Neutrophil')",0.6022,"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')",0.5491,"('CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Neutrophil')",0.5129,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')",0.6063,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil', 'Neutrophil', 'Stellate')",0.6464,"('CD4', 'Cholangiocyte', 'Eosinophil', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.3464,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5398,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.5462,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.4292,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.6367,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.6027,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.4066,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.4835,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5867,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6242,"('CD4', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5488,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5379,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.3677,"('CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.5128,"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.5748,"('CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.5807,"('CD4', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.4962,"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6126,"('CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6513,"('CD4', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.5829,"('CD4', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.6748,"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.612,"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.7,"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7108,"('CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')",0.7233,"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.725,"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')",0.661,"('CD4', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.5909,"('CD4', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')",0.714,"('CD4', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.777,"('CD4', 'Eosinophil', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')",0.5993,"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Neutrophil')",0.6651,"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')",0.5924,"('CD4', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'Eosinophil', 'Kupffer', 'Monocyte', 'Neutrophil')",0.5159,"('CD4', 'Eosinophil', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')",0.6116,"('CD4', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'Kupffer', 'Neutrophil', 'Stellate')",0.6981,"('CD4', 'Eosinophil', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'Eosinophil', 'LSEC', 'Monocyte', 'Neutrophil')",0.6164,"('CD4', 'Eosinophil', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')",0.6351,"('CD4', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'LSEC', 'Neutrophil', 'Stellate')",0.73,"('CD4', 'Eosinophil', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Eosinophil', 'Monocyte', 'Neutrophil', 'Stellate')",0.6921,"('CD4', 'Eosinophil', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6758,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6645,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.4109,"('CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.5683,"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.6855,"('CD4', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6456,"('CD4', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.6719,"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.691,"('CD4', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6843,"('CD4', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.6977,"('CD4', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6295,"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.5832,"('CD4', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6273,"('CD4', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD4', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.6104,"('CD4', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD4', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6578,"('CD4', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.6978,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.7339,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')",0.7754,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.7278,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')",0.7779,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')",0.642,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')",0.7005,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Neutrophil')",0.6693,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')",0.7196,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')",0.7689,"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Neutrophil')",0.6936,"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')",0.6724,"('CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Neutrophil')",0.6622,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')",0.7873,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil', 'Neutrophil', 'Stellate')",0.7463,"('CD8', 'Cholangiocyte', 'Eosinophil', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.4682,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6408,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6646,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.6188,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.698,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.7146,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.5819,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.645,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7391,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.749,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6568,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5463,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.4434,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6052,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.73,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6874,"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.6408,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6487,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6435,"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7116,"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.7187,"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6841,"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.7063,"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7709,"('CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')",0.7745,"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.7511,"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')",0.7063,"('CD8', 'Eosinophil', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6486,"('CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')",0.809,"('CD8', 'Eosinophil', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.7965,"('CD8', 'Eosinophil', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')",0.6216,"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Neutrophil')",0.6652,"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')",0.6668,"('CD8', 'Eosinophil', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Eosinophil', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6091,"('CD8', 'Eosinophil', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')",0.75,"('CD8', 'Eosinophil', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'Kupffer', 'Neutrophil', 'Stellate')",0.7453,"('CD8', 'Eosinophil', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Eosinophil', 'LSEC', 'Monocyte', 'Neutrophil')",0.6582,"('CD8', 'Eosinophil', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')",0.7376,"('CD8', 'Eosinophil', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'LSEC', 'Neutrophil', 'Stellate')",0.7394,"('CD8', 'Eosinophil', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Eosinophil', 'Monocyte', 'Neutrophil', 'Stellate')",0.7368,"('CD8', 'Eosinophil', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6459,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6546,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5075,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.5792,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.679,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7534,"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.6882,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6703,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6959,"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7222,"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.5956,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6494,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6805,"('CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.6856,"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.7297,"('CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.6229,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6288,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6641,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7104,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer', 'Stellate')"
