,Monocyte,pair
"('Basophil', 'CD4', 'Hepatocyte')",0.4753,"('Basophil', 'CD4', 'Hepatocyte')"
"('Basophil', 'CD4', 'Kupffer')",0.6512,"('Basophil', 'CD4', 'Kupffer')"
"('Basophil', 'CD4', 'LSEC')",0.4712,"('Basophil', 'CD4', 'LSEC')"
"('Basophil', 'CD4', 'NK')",0.3663,"('Basophil', 'CD4', 'NK')"
"('Basophil', 'CD4', 'Neutrophil')",0.321,"('Basophil', 'CD4', 'Neutrophil')"
"('Basophil', 'CD4', 'Stellate')",0.6567,"('Basophil', 'CD4', 'Stellate')"
"('Basophil', 'CD8', 'Cholangiocyte')",0.4342,"('Basophil', 'CD8', 'Cholangiocyte')"
"('Basophil', 'CD8', 'Eosinophil')",0.5167,"('Basophil', 'CD8', 'Eosinophil')"
"('Basophil', 'CD8', 'Hepatocyte')",0.5606,"('Basophil', 'CD8', 'Hepatocyte')"
"('Basophil', 'CD8', 'Kupffer')",0.431,"('Basophil', 'CD8', 'Kupffer')"
"('Basophil', 'CD8', 'LSEC')",0.7265,"('Basophil', 'CD8', 'LSEC')"
"('Basophil', 'CD8', 'NK')",0.225,"('Basophil', 'CD8', 'NK')"
"('Basophil', 'CD8', 'Neutrophil')",0.6298,"('Basophil', 'CD8', 'Neutrophil')"
"('Basophil', 'CD8', 'Stellate')",0.7138,"('Basophil', 'CD8', 'Stellate')"
"('Basophil', 'Cholangiocyte', 'Eosinophil')",-0.0667,"('Basophil', 'Cholangiocyte', 'Eosinophil')"
"('Basophil', 'Cholangiocyte', 'Hepatocyte')",0.4404,"('Basophil', 'Cholangiocyte', 'Hepatocyte')"
"('Basophil', 'Cholangiocyte', 'Kupffer')",0.3215,"('Basophil', 'Cholangiocyte', 'Kupffer')"
"('Basophil', 'Cholangiocyte', 'LSEC')",0.2686,"('Basophil', 'Cholangiocyte', 'LSEC')"
"('Basophil', 'Cholangiocyte', 'NK')",0.3409,"('Basophil', 'Cholangiocyte', 'NK')"
"('Basophil', 'Cholangiocyte', 'Neutrophil')",0.2228,"('Basophil', 'Cholangiocyte', 'Neutrophil')"
"('Basophil', 'Cholangiocyte', 'Stellate')",0.6702,"('Basophil', 'Cholangiocyte', 'Stellate')"
"('Basophil', 'Eosinophil', 'Hepatocyte')",0.3153,"('Basophil', 'Eosinophil', 'Hepatocyte')"
"('Basophil', 'Eosinophil', 'Kupffer')",0.4123,"('Basophil', 'Eosinophil', 'Kupffer')"
"('Basophil', 'Eosinophil', 'LSEC')",0.2658,"('Basophil', 'Eosinophil', 'LSEC')"
"('Basophil', 'Eosinophil', 'NK')",0.1988,"('Basophil', 'Eosinophil', 'NK')"
"('Basophil', 'Eosinophil', 'Neutrophil')",0.0502,"('Basophil', 'Eosinophil', 'Neutrophil')"
"('Basophil', 'Eosinophil', 'Stellate')",0.5774,"('Basophil', 'Eosinophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'Kupffer')",-0.0007,"('Basophil', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'Hepatocyte', 'LSEC')",0.5193,"('Basophil', 'Hepatocyte', 'LSEC')"
"('Basophil', 'Hepatocyte', 'NK')",0.4249,"('Basophil', 'Hepatocyte', 'NK')"
"('Basophil', 'Hepatocyte', 'Neutrophil')",-0.0349,"('Basophil', 'Hepatocyte', 'Neutrophil')"
"('Basophil', 'Hepatocyte', 'Stellate')",0.5566,"('Basophil', 'Hepatocyte', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC')",-0.0423,"('Basophil', 'Kupffer', 'LSEC')"
"('Basophil', 'Kupffer', 'NK')",0.7287,"('Basophil', 'Kupffer', 'NK')"
"('Basophil', 'Kupffer', 'Neutrophil')",0.4289,"('Basophil', 'Kupffer', 'Neutrophil')"
"('Basophil', 'Kupffer', 'Stellate')",0.1126,"('Basophil', 'Kupffer', 'Stellate')"
"('Basophil', 'LSEC', 'NK')",0.2917,"('Basophil', 'LSEC', 'NK')"
"('Basophil', 'LSEC', 'Neutrophil')",0.3612,"('Basophil', 'LSEC', 'Neutrophil')"
"('Basophil', 'LSEC', 'Stellate')",0.7,"('Basophil', 'LSEC', 'Stellate')"
"('Basophil', 'NK', 'Neutrophil')",0.1295,"('Basophil', 'NK', 'Neutrophil')"
"('Basophil', 'NK', 'Stellate')",0.7645,"('Basophil', 'NK', 'Stellate')"
"('Basophil', 'Neutrophil', 'Stellate')",0.6216,"('Basophil', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte')",0.7754,"('CD4', 'CD8', 'Cholangiocyte')"
"('CD4', 'CD8', 'Eosinophil')",0.6271,"('CD4', 'CD8', 'Eosinophil')"
"('CD4', 'CD8', 'Hepatocyte')",0.7382,"('CD4', 'CD8', 'Hepatocyte')"
"('CD4', 'CD8', 'Kupffer')",0.6437,"('CD4', 'CD8', 'Kupffer')"
"('CD4', 'CD8', 'LSEC')",0.8324,"('CD4', 'CD8', 'LSEC')"
"('CD4', 'CD8', 'NK')",0.6425,"('CD4', 'CD8', 'NK')"
"('CD4', 'CD8', 'Neutrophil')",0.7034,"('CD4', 'CD8', 'Neutrophil')"
"('CD4', 'CD8', 'Stellate')",0.7325,"('CD4', 'CD8', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil')",0.3593,"('CD4', 'Cholangiocyte', 'Eosinophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte')",0.7458,"('CD4', 'Cholangiocyte', 'Hepatocyte')"
"('CD4', 'Cholangiocyte', 'Kupffer')",0.2083,"('CD4', 'Cholangiocyte', 'Kupffer')"
"('CD4', 'Cholangiocyte', 'LSEC')",0.6329,"('CD4', 'Cholangiocyte', 'LSEC')"
"('CD4', 'Cholangiocyte', 'NK')",0.7867,"('CD4', 'Cholangiocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Neutrophil')",0.4737,"('CD4', 'Cholangiocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Stellate')",0.6903,"('CD4', 'Cholangiocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte')",0.5268,"('CD4', 'Eosinophil', 'Hepatocyte')"
"('CD4', 'Eosinophil', 'Kupffer')",0.4018,"('CD4', 'Eosinophil', 'Kupffer')"
"('CD4', 'Eosinophil', 'LSEC')",0.5859,"('CD4', 'Eosinophil', 'LSEC')"
"('CD4', 'Eosinophil', 'NK')",0.6734,"('CD4', 'Eosinophil', 'NK')"
"('CD4', 'Eosinophil', 'Neutrophil')",-0.1368,"('CD4', 'Eosinophil', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Stellate')",0.6573,"('CD4', 'Eosinophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer')",-0.0602,"('CD4', 'Hepatocyte', 'Kupffer')"
"('CD4', 'Hepatocyte', 'LSEC')",0.6593,"('CD4', 'Hepatocyte', 'LSEC')"
"('CD4', 'Hepatocyte', 'NK')",0.6518,"('CD4', 'Hepatocyte', 'NK')"
"('CD4', 'Hepatocyte', 'Neutrophil')",0.4746,"('CD4', 'Hepatocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Stellate')",0.5733,"('CD4', 'Hepatocyte', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC')",-0.0276,"('CD4', 'Kupffer', 'LSEC')"
"('CD4', 'Kupffer', 'NK')",0.4769,"('CD4', 'Kupffer', 'NK')"
"('CD4', 'Kupffer', 'Neutrophil')",0.5761,"('CD4', 'Kupffer', 'Neutrophil')"
"('CD4', 'Kupffer', 'Stellate')",0.0709,"('CD4', 'Kupffer', 'Stellate')"
"('CD4', 'LSEC', 'NK')",0.7394,"('CD4', 'LSEC', 'NK')"
"('CD4', 'LSEC', 'Neutrophil')",0.5666,"('CD4', 'LSEC', 'Neutrophil')"
"('CD4', 'LSEC', 'Stellate')",0.704,"('CD4', 'LSEC', 'Stellate')"
"('CD4', 'NK', 'Neutrophil')",0.5467,"('CD4', 'NK', 'Neutrophil')"
"('CD4', 'NK', 'Stellate')",0.7266,"('CD4', 'NK', 'Stellate')"
"('CD4', 'Neutrophil', 'Stellate')",0.6659,"('CD4', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil')",0.6604,"('CD8', 'Cholangiocyte', 'Eosinophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte')",0.7616,"('CD8', 'Cholangiocyte', 'Hepatocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer')",0.0312,"('CD8', 'Cholangiocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'LSEC')",0.6835,"('CD8', 'Cholangiocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'NK')",0.7949,"('CD8', 'Cholangiocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Neutrophil')",0.5132,"('CD8', 'Cholangiocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Stellate')",0.6509,"('CD8', 'Cholangiocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte')",0.4253,"('CD8', 'Eosinophil', 'Hepatocyte')"
"('CD8', 'Eosinophil', 'Kupffer')",0.2607,"('CD8', 'Eosinophil', 'Kupffer')"
"('CD8', 'Eosinophil', 'LSEC')",0.7704,"('CD8', 'Eosinophil', 'LSEC')"
"('CD8', 'Eosinophil', 'NK')",0.611,"('CD8', 'Eosinophil', 'NK')"
"('CD8', 'Eosinophil', 'Neutrophil')",0.1355,"('CD8', 'Eosinophil', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Stellate')",0.7415,"('CD8', 'Eosinophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer')",-0.3265,"('CD8', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Hepatocyte', 'LSEC')",0.7358,"('CD8', 'Hepatocyte', 'LSEC')"
"('CD8', 'Hepatocyte', 'NK')",0.6921,"('CD8', 'Hepatocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Neutrophil')",0.4836,"('CD8', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Stellate')",0.7027,"('CD8', 'Hepatocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC')",0.0836,"('CD8', 'Kupffer', 'LSEC')"
"('CD8', 'Kupffer', 'NK')",0.5086,"('CD8', 'Kupffer', 'NK')"
"('CD8', 'Kupffer', 'Neutrophil')",0.1332,"('CD8', 'Kupffer', 'Neutrophil')"
